dataset,condition,dimension,technique,is_original,fold,range,metric,value
DIATREND,balanced_age_jittering,age,jittering,False,5,ENTIRE,RMSE,48.81
DIATREND,balanced_age_jittering,age,jittering,False,5,ENTIRE,MSE,2382.81
DIATREND,balanced_age_jittering,age,jittering,False,5,ENTIRE,MAE,35.41
DIATREND,balanced_age_jittering,age,jittering,False,5,ENTIRE,MAPE,0.21
DIATREND,balanced_age_oversampling,age,oversampling,False,1,TBR_2,A,0.0
DIATREND,balanced_age_oversampling,age,oversampling,False,1,TBR_2,B,0.0
DIATREND,balanced_age_oversampling,age,oversampling,False,1,TBR_2,C,0.0
DIATREND,balanced_age_oversampling,age,oversampling,False,1,TBR_2,D,96.8
DIATREND,balanced_age_oversampling,age,oversampling,False,1,TBR_2,E,3.2
DIATREND,balanced_age_oversampling,age,oversampling,False,1,TBR_2,A + B,0.0
DIATREND,balanced_age_oversampling,age,oversampling,False,1,TBR_2,RMSE,79.49
DIATREND,balanced_age_oversampling,age,oversampling,False,1,TBR_2,MSE,6318.04
DIATREND,balanced_age_oversampling,age,oversampling,False,1,TBR_2,MAE,75.62
DIATREND,balanced_age_oversampling,age,oversampling,False,1,TBR_2,MAPE,1.64
DIATREND,balanced_age_oversampling,age,oversampling,False,1,TBR_1,A,0.0
DIATREND,balanced_age_oversampling,age,oversampling,False,1,TBR_1,B,0.0
DIATREND,balanced_age_oversampling,age,oversampling,False,1,TBR_1,C,0.0
DIATREND,balanced_age_oversampling,age,oversampling,False,1,TBR_1,D,97.37
DIATREND,balanced_age_oversampling,age,oversampling,False,1,TBR_1,E,2.63
DIATREND,balanced_age_oversampling,age,oversampling,False,1,TBR_1,A + B,0.0
DIATREND,balanced_age_oversampling,age,oversampling,False,1,TBR_1,RMSE,60.92
DIATREND,balanced_age_oversampling,age,oversampling,False,1,TBR_1,MSE,3711.19
DIATREND,balanced_age_oversampling,age,oversampling,False,1,TBR_1,MAE,55.98
DIATREND,balanced_age_oversampling,age,oversampling,False,1,TBR_1,MAPE,0.89
DIATREND,balanced_age_oversampling,age,oversampling,False,1,TIR,A,70.42
DIATREND,balanced_age_oversampling,age,oversampling,False,1,TIR,B,29.21
DIATREND,balanced_age_oversampling,age,oversampling,False,1,TIR,C,0.37
DIATREND,balanced_age_oversampling,age,oversampling,False,1,TIR,D,0.0
DIATREND,balanced_age_oversampling,age,oversampling,False,1,TIR,E,0.0
DIATREND,balanced_age_oversampling,age,oversampling,False,1,TIR,A + B,99.63
DIATREND,balanced_age_oversampling,age,oversampling,False,1,TIR,RMSE,28.73
DIATREND,balanced_age_oversampling,age,oversampling,False,1,TIR,MSE,825.38
DIATREND,balanced_age_oversampling,age,oversampling,False,1,TIR,MAE,21.36
DIATREND,balanced_age_oversampling,age,oversampling,False,1,TIR,MAPE,0.17
DIATREND,balanced_age_oversampling,age,oversampling,False,1,TAR_1,A,67.39
DIATREND,balanced_age_oversampling,age,oversampling,False,1,TAR_1,B,30.02
DIATREND,balanced_age_oversampling,age,oversampling,False,1,TAR_1,C,0.06
DIATREND,balanced_age_oversampling,age,oversampling,False,1,TAR_1,D,2.53
DIATREND,balanced_age_oversampling,age,oversampling,False,1,TAR_1,E,0.0
DIATREND,balanced_age_oversampling,age,oversampling,False,1,TAR_1,A + B,97.41
DIATREND,balanced_age_oversampling,age,oversampling,False,1,TAR_1,RMSE,44.34
DIATREND,balanced_age_oversampling,age,oversampling,False,1,TAR_1,MSE,1966.1
DIATREND,balanced_age_oversampling,age,oversampling,False,1,TAR_1,MAE,35.54
DIATREND,balanced_age_oversampling,age,oversampling,False,1,TAR_1,MAPE,0.17
DIATREND,balanced_age_oversampling,age,oversampling,False,1,TAR_2,A,51.81
DIATREND,balanced_age_oversampling,age,oversampling,False,1,TAR_2,B,35.23
DIATREND,balanced_age_oversampling,age,oversampling,False,1,TAR_2,C,0.0
DIATREND,balanced_age_oversampling,age,oversampling,False,1,TAR_2,D,12.96
DIATREND,balanced_age_oversampling,age,oversampling,False,1,TAR_2,E,0.0
DIATREND,balanced_age_oversampling,age,oversampling,False,1,TAR_2,A + B,87.04
DIATREND,balanced_age_oversampling,age,oversampling,False,1,TAR_2,RMSE,74.89
DIATREND,balanced_age_oversampling,age,oversampling,False,1,TAR_2,MSE,5608.42
DIATREND,balanced_age_oversampling,age,oversampling,False,1,TAR_2,MAE,63.12
DIATREND,balanced_age_oversampling,age,oversampling,False,1,TAR_2,MAPE,0.21
DIATREND,balanced_age_oversampling,age,oversampling,False,1,ENTIRE,A,65.91
