dataset,condition,dimension,technique,range,metric,mean_original,mean_balanced,cohens_d,effect_size
DIATREND,balanced_sex_undersampling_oversampling,sex,undersampling_oversampling,TAR_2,MAE,60.546,60.92,-0.1145,negligible
DIATREND,balanced_sex_undersampling_smote,sex,undersampling_smote,TAR_2,MAE,60.546,61.012,-0.145,negligible
DIATREND,balanced_age_jittering,age,jittering,ENTIRE,RMSE,45.046,46.406,-0.5922,medium
DIATREND,balanced_age_oversampling,age,oversampling,ENTIRE,RMSE,45.046,46.03,-0.4258,small
DIATREND,balanced_age_oversampling_tomek,age,oversampling_tomek,ENTIRE,RMSE,45.046,45.468,-0.1899,negligible
DIATREND,balanced_age_patient_aware_undersampling,age,patient_aware_undersampling,ENTIRE,RMSE,45.046,48.214,-1.1376,large
DIATREND,balanced_age_smote,age,smote,ENTIRE,RMSE,45.046,45.796,-0.3248,small
DIATREND,balanced_age_smote_tomek,age,smote_tomek,ENTIRE,RMSE,45.046,45.808,-0.3366,small
DIATREND,balanced_age_tomek_links,age,tomek_links,ENTIRE,RMSE,45.046,44.828,0.0932,negligible
DIATREND,balanced_age_undersampling,age,undersampling,ENTIRE,RMSE,45.046,47.76,-1.0195,large
DIATREND,balanced_age_undersampling_oversampling,age,undersampling_oversampling,ENTIRE,RMSE,45.046,45.92,-0.3793,small
DIATREND,balanced_age_undersampling_smote,age,undersampling_smote,ENTIRE,RMSE,45.046,45.968,-0.3989,small
DIATREND,balanced_sex_jittering,sex,jittering,ENTIRE,RMSE,45.046,45.328,-0.122,negligible
DIATREND,balanced_sex_oversampling,sex,oversampling,ENTIRE,RMSE,45.046,44.99,0.0246,negligible
DIATREND,balanced_sex_oversampling_tomek,sex,oversampling_tomek,ENTIRE,RMSE,45.046,45.064,-0.0077,negligible
DIATREND,balanced_sex_patient_aware_undersampling,sex,patient_aware_undersampling,ENTIRE,RMSE,45.046,45.262,-0.097,negligible
DIATREND,balanced_sex_smote,sex,smote,ENTIRE,RMSE,45.046,44.942,0.0455,negligible
DIATREND,balanced_sex_smote_tomek,sex,smote_tomek,ENTIRE,RMSE,45.046,45.042,0.0017,negligible
DIATREND,balanced_sex_tomek_links,sex,tomek_links,ENTIRE,RMSE,45.046,45.064,-0.0079,negligible
DIATREND,balanced_sex_undersampling,sex,undersampling,ENTIRE,RMSE,45.046,45.084,-0.0163,negligible
DIATREND,balanced_sex_undersampling_oversampling,sex,undersampling_oversampling,ENTIRE,RMSE,45.046,45.02,0.011,negligible
DIATREND,balanced_sex_undersampling_smote,sex,undersampling_smote,ENTIRE,RMSE,45.046,45.158,-0.0488,negligible
DIATREND,balanced_age_jittering,age,jittering,ENTIRE,MAE,33.25,34.284,-0.5929,medium
DIATREND,balanced_age_oversampling,age,oversampling,ENTIRE,MAE,33.25,34.068,-0.4733,small
DIATREND,balanced_age_oversampling_tomek,age,oversampling_tomek,ENTIRE,MAE,33.25,33.524,-0.1651,negligible
DIATREND,balanced_age_patient_aware_undersampling,age,patient_aware_undersampling,ENTIRE,MAE,33.25,35.764,-1.2401,large
DIATREND,balanced_age_smote,age,smote,ENTIRE,MAE,33.25,33.83,-0.3335,small
DIATREND,balanced_age_smote_tomek,age,smote_tomek,ENTIRE,MAE,33.25,33.858,-0.3679,small
DIATREND,balanced_age_tomek_links,age,tomek_links,ENTIRE,MAE,33.25,33.032,0.122,negligible
DIATREND,balanced_age_undersampling,age,undersampling,ENTIRE,MAE,33.25,35.268,-1.0264,large
DIATREND,balanced_age_undersampling_oversampling,age,undersampling_oversampling,ENTIRE,MAE,33.25,33.988,-0.4246,small
DIATREND,balanced_age_undersampling_smote,age,undersampling_smote,ENTIRE,MAE,33.25,33.956,-0.4185,small
DIATREND,balanced_sex_jittering,sex,jittering,ENTIRE,MAE,33.25,33.416,-0.0944,negligible
DIATREND,balanced_sex_oversampling,sex,oversampling,ENTIRE,MAE,33.25,33.212,0.022,negligible
DIATREND,balanced_sex_oversampling_tomek,sex,oversampling_tomek,ENTIRE,MAE,33.25,33.28,-0.017,negligible
DIATREND,balanced_sex_patient_aware_undersampling,sex,patient_aware_undersampling,ENTIRE,MAE,33.25,33.484,-0.1394,negligible
DIATREND,balanced_sex_smote,sex,smote,ENTIRE,MAE,33.25,33.18,0.0408,negligible
DIATREND,balanced_sex_smote_tomek,sex,smote_tomek,ENTIRE,MAE,33.25,33.222,0.0158,negligible
DIATREND,balanced_sex_tomek_links,sex,tomek_links,ENTIRE,MAE,33.25,33.244,0.0035,negligible
DIATREND,balanced_sex_undersampling,sex,undersampling,ENTIRE,MAE,33.25,33.284,-0.0194,negligible
DIATREND,balanced_sex_undersampling_oversampling,sex,undersampling_oversampling,ENTIRE,MAE,33.25,33.208,0.0236,negligible
DIATREND,balanced_sex_undersampling_smote,sex,undersampling_smote,ENTIRE,MAE,33.25,33.342,-0.0537,negligible
REPLACE-BG,balanced_age_jittering,age,jittering,TBR_2,RMSE,57.286,57.842,-0.4865,small
REPLACE-BG,balanced_age_oversampling,age,oversampling,TBR_2,RMSE,57.286,57.044,0.18,negligible
REPLACE-BG,balanced_age_oversampling_tomek,age,oversampling_tomek,TBR_2,RMSE,57.286,57.054,0.1933,negligible
REPLACE-BG,balanced_age_patient_aware_undersampling,age,patient_aware_undersampling,TBR_2,RMSE,57.286,57.642,-0.2029,small
REPLACE-BG,balanced_age_smote,age,smote,TBR_2,RMSE,57.286,56.632,0.4522,small
REPLACE-BG,balanced_age_smote_tomek,age,smote_tomek,TBR_2,RMSE,57.286,57.078,0.1418,negligible
REPLACE-BG,balanced_age_tomek_links,age,tomek_links,TBR_2,RMSE,57.286,57.08,0.1239,negligible
REPLACE-BG,balanced_age_undersampling,age,undersampling,TBR_2,RMSE,57.286,57.456,-0.0982,negligible
REPLACE-BG,balanced_age_undersampling_oversampling,age,undersampling_oversampling,TBR_2,RMSE,57.286,57.008,0.1658,negligible
