dataset,condition,dimension,technique,is_original,family_size,family_mechanism,range,metric,mean,std,baseline_mean,delta_abs,delta_pct,improvement_pct
DIATREND,balanced_age_oversampling,age,oversampling,False,oversampling,random,ENTIRE,MAE,34.07,1.57,33.25,0.8200000000000003,2.4661654135338353,-2.4661654135338353
DIATREND,balanced_age_oversampling,age,oversampling,False,oversampling,random,ENTIRE,MAPE,0.2,0.01,0.2,0.0,0.0,-0.0
DIATREND,balanced_age_oversampling_tomek,age,oversampling_tomek,False,same_size,random+guided,TBR_2,A,0.0,0.0,0.0,0.0,,
DIATREND,balanced_age_oversampling_tomek,age,oversampling_tomek,False,same_size,random+guided,TBR_2,B,0.0,0.0,0.0,0.0,,
DIATREND,balanced_age_oversampling_tomek,age,oversampling_tomek,False,same_size,random+guided,TBR_2,C,0.0,0.0,0.0,0.0,,
DIATREND,balanced_age_oversampling_tomek,age,oversampling_tomek,False,same_size,random+guided,TBR_2,D,97.08,2.0,96.53,0.5499999999999972,0.569771055630371,-0.569771055630371
DIATREND,balanced_age_oversampling_tomek,age,oversampling_tomek,False,same_size,random+guided,TBR_2,E,2.92,2.0,3.47,-0.5500000000000003,-15.850144092219026,15.850144092219026
DIATREND,balanced_age_oversampling_tomek,age,oversampling_tomek,False,same_size,random+guided,TBR_2,A + B,0.0,0.0,0.0,0.0,,
DIATREND,balanced_age_oversampling_tomek,age,oversampling_tomek,False,same_size,random+guided,TBR_2,RMSE,73.29,8.13,75.28,-1.9899999999999949,-2.6434643995749134,2.6434643995749134
DIATREND,balanced_age_oversampling_tomek,age,oversampling_tomek,False,same_size,random+guided,TBR_2,MSE,5424.61,1204.9,5710.57,-285.96000000000004,-5.007556163395249,5.007556163395249
DIATREND,balanced_age_oversampling_tomek,age,oversampling_tomek,False,same_size,random+guided,TBR_2,MAE,69.42,7.55,71.22,-1.7999999999999972,-2.527379949452397,2.527379949452397
DIATREND,balanced_age_oversampling_tomek,age,oversampling_tomek,False,same_size,random+guided,TBR_2,MAPE,1.53,0.15,1.57,-0.040000000000000036,-2.5477707006369448,2.5477707006369448
DIATREND,balanced_age_oversampling_tomek,age,oversampling_tomek,False,same_size,random+guided,TBR_1,A,0.06,0.08,0.01,0.049999999999999996,499.9999999999999,499.9999999999999
DIATREND,balanced_age_oversampling_tomek,age,oversampling_tomek,False,same_size,random+guided,TBR_1,B,0.0,0.0,0.0,0.0,,
DIATREND,balanced_age_oversampling_tomek,age,oversampling_tomek,False,same_size,random+guided,TBR_1,C,0.0,0.0,0.0,0.0,,
DIATREND,balanced_age_oversampling_tomek,age,oversampling_tomek,False,same_size,random+guided,TBR_1,D,97.41,1.25,97.11,0.29999999999999716,0.30892801977139034,-0.30892801977139034
DIATREND,balanced_age_oversampling_tomek,age,oversampling_tomek,False,same_size,random+guided,TBR_1,E,2.52,1.3,2.88,-0.3599999999999999,-12.499999999999996,12.499999999999996
DIATREND,balanced_age_oversampling_tomek,age,oversampling_tomek,False,same_size,random+guided,TBR_1,A + B,0.06,0.08,0.01,0.049999999999999996,499.9999999999999,499.9999999999999
DIATREND,balanced_age_oversampling_tomek,age,oversampling_tomek,False,same_size,random+guided,TBR_1,RMSE,57.91,4.98,59.82,-1.9100000000000037,-3.1929120695419653,3.1929120695419653
DIATREND,balanced_age_oversampling_tomek,age,oversampling_tomek,False,same_size,random+guided,TBR_1,MSE,3373.08,583.72,3591.41,-218.32999999999993,-6.079227935546204,6.079227935546204
DIATREND,balanced_age_oversampling_tomek,age,oversampling_tomek,False,same_size,random+guided,TBR_1,MAE,53.39,4.14,55.15,-1.759999999999998,-3.1912964641885733,3.1912964641885733
DIATREND,balanced_age_oversampling_tomek,age,oversampling_tomek,False,same_size,random+guided,TBR_1,MAPE,0.86,0.06,0.88,-0.020000000000000018,-2.2727272727272747,2.2727272727272747
DIATREND,balanced_age_oversampling_tomek,age,oversampling_tomek,False,same_size,random+guided,TIR,A,67.59,1.95,66.2,1.3900000000000006,2.0996978851963752,2.0996978851963752
DIATREND,balanced_age_oversampling_tomek,age,oversampling_tomek,False,same_size,random+guided,TIR,B,31.82,1.84,33.14,-1.3200000000000003,-3.983101991550997,
DIATREND,balanced_age_oversampling_tomek,age,oversampling_tomek,False,same_size,random+guided,TIR,C,0.58,0.25,0.66,-0.08000000000000007,-12.121212121212132,12.121212121212132
DIATREND,balanced_age_oversampling_tomek,age,oversampling_tomek,False,same_size,random+guided,TIR,D,0.0,0.0,0.0,0.0,,
DIATREND,balanced_age_oversampling_tomek,age,oversampling_tomek,False,same_size,random+guided,TIR,E,0.0,0.0,0.0,0.0,,
DIATREND,balanced_age_oversampling_tomek,age,oversampling_tomek,False,same_size,random+guided,TIR,A + B,99.42,0.25,99.34,0.0799999999999983,0.08053150795248469,0.08053150795248469
DIATREND,balanced_age_oversampling_tomek,age,oversampling_tomek,False,same_size,random+guided,TIR,RMSE,29.82,1.45,30.72,-0.8999999999999986,-2.9296874999999956,2.9296874999999956
DIATREND,balanced_age_oversampling_tomek,age,oversampling_tomek,False,same_size,random+guided,TIR,MSE,890.97,86.13,944.97,-54.0,-5.714467125940506,5.714467125940506
DIATREND,balanced_age_oversampling_tomek,age,oversampling_tomek,False,same_size,random+guided,TIR,MAE,21.99,0.84,22.67,-0.6800000000000033,-2.999558888398779,2.999558888398779
DIATREND,balanced_age_oversampling_tomek,age,oversampling_tomek,False,same_size,random+guided,TIR,MAPE,0.18,0.01,0.19,-0.010000000000000009,-5.263157894736847,5.263157894736847
DIATREND,balanced_age_oversampling_tomek,age,oversampling_tomek,False,same_size,random+guided,TAR_1,A,68.86,1.13,70.98,-2.1200000000000045,-2.9867568329106855,-2.9867568329106855
DIATREND,balanced_age_oversampling_tomek,age,oversampling_tomek,False,same_size,random+guided,TAR_1,B,28.68,1.0,26.82,1.8599999999999994,6.935123042505591,
DIATREND,balanced_age_oversampling_tomek,age,oversampling_tomek,False,same_size,random+guided,TAR_1,C,0.14,0.09,0.1,0.04000000000000001,40.00000000000001,-40.00000000000001
DIATREND,balanced_age_oversampling_tomek,age,oversampling_tomek,False,same_size,random+guided,TAR_1,D,2.31,0.14,2.11,0.20000000000000018,9.478672985782,-9.478672985782
DIATREND,balanced_age_oversampling_tomek,age,oversampling_tomek,False,same_size,random+guided,TAR_1,E,0.0,0.0,0.0,0.0,,
DIATREND,balanced_age_oversampling_tomek,age,oversampling_tomek,False,same_size,random+guided,TAR_1,A + B,97.55,0.17,97.79,-0.2400000000000091,-0.24542386747112085,-0.24542386747112085
DIATREND,balanced_age_oversampling_tomek,age,oversampling_tomek,False,same_size,random+guided,TAR_1,RMSE,43.62,1.1,42.08,1.5399999999999991,3.6596958174904923,-3.6596958174904923
DIATREND,balanced_age_oversampling_tomek,age,oversampling_tomek,False,same_size,random+guided,TAR_1,MSE,1903.53,96.4,1771.85,131.68000000000006,7.431780342579794,-7.431780342579794
DIATREND,balanced_age_oversampling_tomek,age,oversampling_tomek,False,same_size,random+guided,TAR_1,MAE,34.5,0.73,32.9,1.6000000000000014,4.863221884498485,-4.863221884498485
DIATREND,balanced_age_oversampling_tomek,age,oversampling_tomek,False,same_size,random+guided,TAR_1,MAPE,0.16,0.0,0.15,0.010000000000000009,6.666666666666673,-6.666666666666673
DIATREND,balanced_age_oversampling_tomek,age,oversampling_tomek,False,same_size,random+guided,TAR_2,A,56.19,1.22,56.98,-0.7899999999999991,-1.386451386451385,-1.386451386451385
DIATREND,balanced_age_oversampling_tomek,age,oversampling_tomek,False,same_size,random+guided,TAR_2,B,34.04,1.36,34.13,-0.09000000000000341,-0.2636976267213695,
DIATREND,balanced_age_oversampling_tomek,age,oversampling_tomek,False,same_size,random+guided,TAR_2,C,0.0,0.0,0.0,0.0,,
DIATREND,balanced_age_oversampling_tomek,age,oversampling_tomek,False,same_size,random+guided,TAR_2,D,9.77,1.2,8.89,0.879999999999999,9.898762654668154,-9.898762654668154
DIATREND,balanced_age_oversampling_tomek,age,oversampling_tomek,False,same_size,random+guided,TAR_2,E,0.0,0.0,0.0,0.0,,
DIATREND,balanced_age_oversampling_tomek,age,oversampling_tomek,False,same_size,random+guided,TAR_2,A + B,90.23,1.2,91.11,-0.8799999999999955,-0.9658654373833777,-0.9658654373833777
DIATREND,balanced_age_oversampling_tomek,age,oversampling_tomek,False,same_size,random+guided,TAR_2,RMSE,73.5,3.05,72.34,1.1599999999999966,1.6035388443461382,-1.6035388443461382
DIATREND,balanced_age_oversampling_tomek,age,oversampling_tomek,False,same_size,random+guided,TAR_2,MSE,5410.16,457.59,5246.21,163.94999999999982,3.1251131769410647,-3.1251131769410647
DIATREND,balanced_age_oversampling_tomek,age,oversampling_tomek,False,same_size,random+guided,TAR_2,MAE,61.74,2.31,60.55,1.1900000000000048,1.9653179190751526,-1.9653179190751526
DIATREND,balanced_age_oversampling_tomek,age,oversampling_tomek,False,same_size,random+guided,TAR_2,MAPE,0.2,0.0,0.2,0.0,0.0,-0.0
DIATREND,balanced_age_oversampling_tomek,age,oversampling_tomek,False,same_size,random+guided,ENTIRE,A,64.66,1.89,64.65,0.009999999999990905,0.015467904098980518,0.015467904098980518
DIATREND,balanced_age_oversampling_tomek,age,oversampling_tomek,False,same_size,random+guided,ENTIRE,B,30.75,1.16,30.95,-0.1999999999999993,-0.6462035541195453,
DIATREND,balanced_age_oversampling_tomek,age,oversampling_tomek,False,same_size,random+guided,ENTIRE,C,0.34,0.15,0.36,-0.019999999999999962,-5.555555555555546,5.555555555555546
